wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
17210,subsidise,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17211,subsidize,ˈsʌbsɪdaɪz,NULL,subsidizes,subsidizing,subsidized,subsidized,['v. 资助，补助，给……发津贴；（政府）资助，出资支持；向……行贿']
17212,substitution,ˌsʌbstɪˈtjuːʃn,substitutions,NULL,NULL,NULL,NULL,['n. 代替，替换；代替物；（数） 置换']
17213,subtlety,ˈsʌt(ə)lti,subtleties,NULL,NULL,NULL,NULL,['n. 细微差别，微妙之处；微妙，精细；机敏，敏锐；诡秘，狡猾，巧妙']
17214,subtraction,səbˈtrækʃn,subtractions,NULL,NULL,NULL,NULL,['n. 减去；（数）减，减法']
17215,suburban,səˈbɜːbən,NULL,NULL,NULL,NULL,NULL,"['adj. 郊区的，城郊的；平淡乏味的，乡气的，平庸的', 'n. 郊区居民']"
17216,such,sʌtʃ,NULL,NULL,NULL,NULL,NULL,"['det. 如此的，这等的；如此（……以致）；这种的，那样的', 'pron. 这种人（或事物），这类的；（上文提到的）那样的情况，那件事', 'adv. 这么，如此（用于加强叙述语气）；如此程度', '【名】 （Such）（英）萨奇，（德）祖赫（人名）']"
17217,suddenly,ˈsʌd(ə)nli,NULL,NULL,NULL,NULL,NULL,['adv. 突然地，出乎意料地']
17218,suffering,ˈsʌfərɪŋ,sufferings,NULL,NULL,NULL,NULL,"['n. （内心或肉体的）痛苦，问题；痛苦的感觉', 'v.  遭受；经历；（因疾病、痛苦、悲伤等）受痛苦，受损害（suffer 的现在分词形式）']"
17219,suicidal,ˌsuːɪˈsaɪd(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 有自杀倾向的；有致命危险的，极为冒险的；自取灭亡的，自我毁灭性的；可能造成大破坏（麻烦）的']
17220,sulphur,ˈsʌlfə(r),NULL,NULL,NULL,NULL,NULL,"['n. 硫，硫磺；硫黄色，黄绿色；粉蝶科蝶，美洲粉蝶；硫火（从前认为是构成地狱之火和闪电的物质）', 'v. 用硫消毒（或熏制）']"
17221,summarise,ˈsʌməraɪz,NULL,summarises,summarising,summarised,summarised,['vt. 概括（等于 summarize）；相加']
17222,summer,ˈsʌmə(r),summers,summers,summering,summered,summered,"['n. 夏天，夏季；<文>年，岁；（建筑）大梁；（天文）从夏至到秋分这段时期；全盛期', 'v. （在某地）避暑，过夏；夏天放牧（牛）', '【名】 （Summer）（德）祖默，（英）萨默（人名）']"
17223,sunday,ˈsʌndeɪ,NULL,NULL,NULL,NULL,NULL,['n. 星期日；礼拜日']
17224,sunlight,ˈsʌnlaɪt,sunlights,NULL,NULL,NULL,NULL,"['n. 阳光，日光', '【名】 （Sunlight）（英）森莱特（人名）']"
17225,sunny,ˈsʌni,NULL,NULL,NULL,NULL,NULL,['adj. 阳光充足的，（地方）暖和的；（人，性格）开朗的，阳光的']
17226,superintendent,ˌsuːpərɪnˈtendənt; ˌsjuːpərɪnˈtendənt,superintendents,NULL,NULL,NULL,NULL,['n. 主管，负责人；（英国的）警司，（美国的）警察局局长；<美>（大楼的）管理员']
17227,superstitious,ˌsuːpəˈstɪʃəs,NULL,NULL,NULL,NULL,NULL,['adj. 迷信的；迷信引起的，没有充分根据的']
17228,supervision,ˌsuːpəˈvɪʒ(ə)n,NULL,NULL,NULL,NULL,NULL,['n. 监督，管理']
17229,supervisor,ˈsuːpəvaɪzə(r),supervisors,NULL,NULL,NULL,NULL,['n. 监督者，管理者；（英国大学里负责学生研究工作的）指导教师；<美>镇长，县长']
17230,supplementary,ˌsʌplɪˈmentri,supplementaries,NULL,NULL,NULL,NULL,"['adj. 补充的，附加的；（角）互补的', 'n. 补充者，增补物；<英>补充提问']"
17231,supplier,səˈplaɪə(r),suppliers,NULL,NULL,NULL,NULL,['n. 供应商，供应者']
17232,supporter,səˈpɔːtə(r),supporters,NULL,NULL,NULL,NULL,['n. 支持者；拥护者']
17233,supportive,səˈpɔːtɪv,NULL,NULL,NULL,NULL,NULL,['adj. 支持的，拥护的，给予帮助的']
17234,supposedly,səˈpəʊzɪdli,NULL,NULL,NULL,NULL,NULL,['adv. 据说，据传']
17235,supposition,ˌsʌpəˈzɪʃ(ə)n,NULL,NULL,NULL,NULL,NULL,['n. 推测，假定；毫无根据的想法，无稽之谈']
17236,suppression,səˈpreʃ(ə)n,NULL,NULL,NULL,NULL,NULL,['n. 镇压，压制；（医）（排泄或分泌物的）流出阻滞；（生）抑制；（遗传）抑制；（心理）压抑；（心理分析）自觉抑制；（电干扰的）消除']
17237,suppressive,səˈpresɪv,NULL,NULL,NULL,NULL,NULL,['adj. 镇压的；抑制的']
17238,sure,ʃʊə(r),NULL,NULL,NULL,NULL,NULL,"['adj. 确信的，有把握的；肯定的，一定的；可靠的，准确的；一定会（发生或出现某种结果）的；紧紧的，坚定的；沉着自信的，胸有成竹的', 'adv. （表示同意）当然；确实，的确，诚然（用于肯定前半部分）；（回答他人的感谢）不用客气，应该的；真的，肯定，无疑（用于强调）', '【名】 （Sure）（法、印、美、德）休尔（人名）']"
17239,surf,sɜːf,NULL,surfs,surfing,surfed,surfed,"['v. 上网；冲浪；<非正式>坐在高速行驶的车辆（尤指火车）顶部（或外面）享受刺激感；<美，非正式>频繁调换电视频道（同 channel-surf）', 'n. 拍岸浪花；一次冲浪']"
17240,surfing,ˈsɜːfɪŋ,NULL,NULL,NULL,NULL,NULL,"['n. 冲浪运动；网上冲浪，网络浏览', 'v. 上网；冲浪；<非正式>坐在高速行驶的车辆（尤指火车）顶部（或外面）享受刺激感（surf 的现在分词）']"
17241,surgical,ˈsɜːdʒɪkl,NULL,NULL,NULL,NULL,NULL,['adj. 外科的，外科手术的；外科手术使用的；（衣服）用于外科治疗的；仔细的，精确的；术后的']
17242,survivor,səˈvaɪvə(r),survivors,NULL,NULL,NULL,NULL,['n. （灾难性事故中的）幸存者，生还者，幸存物；能在艰苦环境中生存的人，挺过困难者；（死者的）尚在世的家人，遗属；遭遇过（不幸经历）的人，经受过（苦难）的人；留存的人（或物），继续发挥作用的人（或物），竞赛中的过关者；幸存的公司；<法律>（共有财产产主中的）存者']
17243,suspension,səˈspenʃ(ə)n,suspensions,NULL,NULL,NULL,NULL,['n. 暂停，中止；暂令停职（或停学、停赛等）；（车辆的）悬架，减震装置；悬浮液，悬胶体；（乐）延留音']
17244,sustainability,səˌsteɪnəˈbɪləti,NULL,NULL,NULL,NULL,NULL,['n. 持续性，能维持性']
17245,sustainable,səˈsteɪnəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. （计划、方法、体制）可持续的，持续性的；（自然资源）可持续的，不破坏环境的 ；站得住脚的']
17246,swap,swɒp,swaps,swaps,swapping,swapped,swapped,"['v. 交换，交易； 用……替换，把……换成；交换（工作或岗位）； 交流（各自的经历、想法等）；停下（手头的事）改做', 'n. 交易，交换；交易物，交换物；交换工作；（财政）换期，互惠信贷']"
17247,swimmer,ˈswɪmə(r),swimmers,NULL,NULL,NULL,NULL,['n. 游泳者；会游泳的人，游泳运动员；正在游泳的人']
17248,swimming,ˈswɪmɪŋ,NULL,NULL,NULL,NULL,NULL,"['n. 游泳；目眩', 'adj. 游泳的；游泳用的；善于游泳的；晕眩的', 'v. 游泳；漂浮；旋转（swim 的 ing 形式）']"
17249,symbolic,sɪmˈbɒlɪk,NULL,NULL,NULL,NULL,NULL,['adj. 用作象征的，被认为是象征的；有象征意义的；（行为举动）象征性的，没有甚么实际影响的；符号的，使用象征的']
17250,symbolical,NULL,NULL,NULL,NULL,NULL,NULL,['adj. 象征的；符号的']
17251,symmetric,sɪ'metrɪk,NULL,NULL,NULL,NULL,NULL,['adj. 对称的']
17252,symmetrical,sɪˈmetrɪk(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 对称的，匀称的']
17253,sympathise,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17254,syndicate,ˈsɪndɪkət,syndicates,syndicates,syndicating,syndicated,syndicated,"['n. 辛迪加，企业联合组织，财团；报业集团；评议会特别委员会', 'v. 把（文章、图片、电视节目等）出售给多个媒体；把（赛马）卖给辛迪加；把……联合成辛迪加']"
17255,synonym,ˈsɪnənɪm,synonyms,NULL,NULL,NULL,NULL,['n. 同义词；代名词，换喻词；（分类学中的）同物异名']
17256,synthesise,ˈsɪnθɪsaɪz,NULL,synthesises,synthesising,synthesised,synthesised,"['vi. 合成，接合', 'vt. 综合地处理；人工合成']"
17257,synthesize,ˈsɪnθəsaɪz,NULL,synthesizes,synthesizing,synthesized,synthesized,['v. （通过化学或生物反应）合成；综合，结合；（用音响合成器）合成（声音）']
17258,systematically,ˌsɪstəˈmætɪkli,NULL,NULL,NULL,NULL,NULL,['adv. 系统地，有条理地']
17259,tactful,ˈtæktfl,NULL,NULL,NULL,NULL,NULL,['adj. 乖巧的，圆滑的']
17260,takeoff,ˈteɪkɒf,takeoffs,NULL,NULL,NULL,NULL,['n. （飞机、直升机等的）起飞；（经济、生意等的）开始腾飞，迅速发展；（对他人言行的）滑稽模仿；<美>（写作、音乐等的）娱乐性模仿；起跳；创新，跨越']
17261,talented,ˈtæləntɪd,NULL,NULL,NULL,NULL,NULL,['adj. 有天资的，有才能的']
17262,talkative,ˈtɔːkətɪv,NULL,NULL,NULL,NULL,NULL,['adj. 爱说话的，健谈的']
17263,task,tɑːsk,tasks,tasks,tasking,tasked,tasked,"['n. （尤指困难的或必须定期做的）工作，任务；（尤指语言教学中旨在帮助达到某一学习目的的）活动', 'v. 派给……任务；对（手段，能力）要求极高，考验']"
17264,taxation,tækˈseɪʃn,NULL,NULL,NULL,NULL,NULL,['n. 征税，税制；税款']
17265,tea,tiː,NULL,NULL,NULL,NULL,NULL,"['n. 茶，茶水；（用其他植物叶子沏的）饮料；茶叶；<英>茶点，下午茶；<英>便餐，晚点；<西印度>（咖啡、可可等）热饮；<西印度>（尤指带有热饮、面包的）早点', 'vi. <古>喝茶，吃下午茶', '【名】 （Tea）（柬）迪（人名）']"
17266,teach,tiːtʃ,NULL,teaches,teaching,taught,taught,"['v. 教授，讲授；教会，训练；教育，使懂得（情理）；<非正式>劝诫，教训', 'n. <非正式>教师', '【名】 （Teach）蒂奇（人名）']"
17267,teacher,ˈtiːtʃə(r),teachers,NULL,NULL,NULL,NULL,"['n. 教师；导师', 'n. (Teacher)人名；(英)蒂彻']"
17268,teaching,ˈtiːtʃɪŋ,teachings,NULL,NULL,NULL,NULL,"['n. 教学工作，授课；教义，学说', 'adj. 教学的，与教学有关的', 'v. 教学；教训；教导（teach 的现在分词形式）']"
17269,tech,tek,techs,NULL,NULL,NULL,NULL,"['n. 技校，技术学院；技术（学），工艺（学），工业技术；技术员，技师', '【名】 （Tech）（柬）德（人名）']"
17270,technological,ˌteknəˈlɒdʒɪk(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 技术的，科技的，工艺的']
17271,teen,tiːn,NULL,NULL,NULL,NULL,NULL,"['n. 十几岁，青少年时期（指从13岁到19岁）；（青）少年，十几岁的孩子；伤害；愤怒；悲哀', 'adj. 青少年的，十几岁的']"
17272,telecommunications,ˌtelikəˌmjuːnɪˈkeɪʃ(ə)nz,NULL,NULL,NULL,NULL,NULL,['n. 电信，电讯']
17273,telescopic,ˌtelɪˈskɒpɪk,NULL,NULL,NULL,NULL,NULL,['adj. 望远镜的，（镜头、仪器）能望远的；用望远镜观看的；可伸缩的，套叠式的']
17274,television,ˈtelɪvɪʒ(ə)n,televisions,NULL,NULL,NULL,NULL,['n. 电视，电视机；电视业']
17275,teller,ˈtelə(r),tellers,NULL,NULL,NULL,NULL,"['n. （银行）出纳员；（尤指议会的）计票人；讲述者，讲故事的人；出纳机，提款机；<英，史>（税务署四位收、付款）税官（之一）', '【名】 （Teller）泰勒（人名）']"
17276,temporarily,ˈtemprərəli,NULL,NULL,NULL,NULL,NULL,['adv. 暂时地，临时地']
17277,ten,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17278,terribly,ˈterəbli,NULL,NULL,NULL,NULL,NULL,['adv. 很，非常；非常糟地，严重地']
17279,territorial,ˌterəˈtɔːriəl,territorials,NULL,NULL,NULL,NULL,"['adj. 领土的，领海的；（人类或动物）有地盘意识的，领地性的；地区的，地方的；(美国）准州的，（加拿大）地方的', 'n. （英国）本土防卫义勇军士兵（或军官）']"
17280,terrorism,ˈterərɪzəm,NULL,NULL,NULL,NULL,NULL,['n. 恐怖主义']
17281,terrorist,ˈterərɪst,terrorists,NULL,NULL,NULL,NULL,"['n. 恐怖主义者，恐怖分子', 'adj. 恐怖主义者的，恐怖分子的']"
17282,tertiary,ˈtɜːʃəri,tertiaries,NULL,NULL,NULL,NULL,"['adj. 第三的，第三位的，第三级的；高等（教育）；第三产业的；次要的；第三期治疗的；（化）叔的，特的；（地质）第三纪（或系）的', 'n. （地质）第三纪，第三系，第三纪岩（the Tertiary）；第三修道会会员（某些基督教组织做杂务的会支）']"
17283,than,ðən; ðæn,NULL,NULL,NULL,NULL,NULL,"['conj. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）', 'prep. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）', 'n. （Than）（越）丹（人名）']"
17284,thankful,ˈθæŋkfl,NULL,NULL,NULL,NULL,NULL,['adj. 感谢的，感激的；（表示）感谢（或感激）的']
17285,thanksgiving,ˌθæŋksˈɡɪvɪŋ,thanksgivings,NULL,NULL,NULL,NULL,['n. 感恩']
17286,the,ðə,NULL,NULL,NULL,NULL,NULL,"['art. 这；那', 'adv. 更加（用于比较级，最高级前）']"
17287,theatre,ˈθɪətə(r),theatres,NULL,NULL,NULL,NULL,['n. 剧场，戏院；<美>电影院；戏剧；戏剧表演，戏剧演出；手术室；战场，战区；（事件发生的）场所；做戏，夸张做作；戏剧效果；阶梯式讲堂（或教室）；<英>手术室']
17288,theatrical,θiˈætrɪk(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj. 戏剧的，演剧的；戏剧性的，夸张的；盛大的，壮观的', 'n. （尤指业余的）戏剧表演，娱乐表演；夸张的行为； 职业演员']"
17289,them,ðəm; ðem,NULL,NULL,NULL,NULL,NULL,"['pron. 他们；她们；它们', 'n. （Them）（老）探（人名）']"
17290,therapeutical,ˌθerəˈpjuːtɪkəl,NULL,NULL,NULL,NULL,NULL,"['adj. （与）治疗（有关）的；有疗效的；有益于（身心）健康的', 'n. 治疗学 （therapeutics）；疗法，治疗剂，治疗药物']"
17291,therapist,ˈθerəpɪst,therapists,NULL,NULL,NULL,NULL,['n. 治疗专家；心理治疗师']
17292,they,ðeɪ,NULL,NULL,NULL,NULL,NULL,['pron. 他们；它们；她们']
17293,think,θɪŋk,NULL,thinks,thinking,thought,thought,"['v. 认为，觉得；用于礼貌地请某人做某事；（用于问句,表示生气或吃惊）；认为（是），以为（是），觉得（是）；思考，考虑，动脑子；想做，打算做；想起，记起，回忆起；猜想，设想，想像；（用于使话语不太肯定或较为婉转）；具有某种思维方式；想出，想到（主意）；琢磨，寻思；对……评价（很高）；关心，考虑，为……着想；想想（用于告诉或帮助他人记起某人或某事物）；想来，想想看（用于评论过去所做或经历过的事情现在看来不可思议、愚蠢或令人震惊）；（用来引出例子或进一步解释）考虑，想到（某方面、某主题）；料想，预料，预期；只想，一心想，对……着迷；边想边说出声来，自言自语', 'n. 想，思索，思考', 'adj. 思想的']"
17294,thinking,ˈθɪŋkɪŋ,thinkings,NULL,NULL,NULL,NULL,"['n. 想法，见解；思想，思考，思维', 'adj. 思想的，有理智的，有思考力的', 'v. 认为，以为；思考，思索；猜想，想象（think 的现在分词）']"
17295,third,θɜːd,thirds,NULL,NULL,NULL,NULL,"['num. 第三；三分之一；（机动车变速器的）第三档；（音乐）三度音', 'n. 三分之一；三等学位（英国大学中低于平均水平的学位）', 'adj. 第三的；三分之一的', 'adv. 第三（点）']"
17296,thirteen,ˌθɜːˈtiːn,thirteens,NULL,NULL,NULL,NULL,"['n. 十三；十三岁；十三个', 'num. 十三', 'adj. 十三的；十三个的']"
17297,thirty,ˈθɜːti,thirties,NULL,NULL,NULL,NULL,"['n. 三十年代', 'num. 三十', 'adj. 三十个的']"
17298,this,ðɪs,these,NULL,NULL,NULL,NULL,"['pron. 这，这个；这样；今，本；……的这个；有个', 'adj. 这，这个（离说话人较近的）', 'adv. 这样地，这么', 'det. 这（指前面曾提及或暗指的人或物）； 这（指当前所处的地方或时间）；这（指即将要发生某事的时间）；这个（指说话或写字时使用的媒介）', 'n. (This) （法、美、印、巴）蒂斯（人名）']"
17299,those,ðəʊz,NULL,NULL,NULL,NULL,NULL,"['det. 那些（that 的复数）', 'pron. 那些（that 的复数）']"
17300,thriller,ˈθrɪlə(r),thrillers,NULL,NULL,NULL,NULL,['n. （尤指关于罪案或间谍的）惊险小说（或戏剧、电影）；令人激动的比赛（或经历）']
17301,thunderous,ˈθʌndərəs,NULL,NULL,NULL,NULL,NULL,['adj. 雷鸣般的，声音很大的；面色阴沉的，怒气冲冲的；重大的，强有力的']
17302,thursday,ˈθɜːzdeɪ,NULL,NULL,NULL,NULL,NULL,['n. 星期四']
17303,tickle,ˈtɪk(ə)l,tickles,tickles,tickling,tickled,tickled,"['v. 使觉得痒，挠（某人）的痒痒；（使）发痒；使满足，使高兴；使发笑；引发（品味，幽默感，好奇心）；用手捉（鳟鱼）', 'n. 痒（感）； 呵痒，胳肢', '【名】 （Tickle）（英）蒂克尔（人名）']"
17304,tidal,ˈtaɪd(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj. 潮汐的，受潮汐影响的', '【名】  （Tidal）（瑞典）蒂达尔（人名）']"
17305,tighten,ˈtaɪt(ə)n,NULL,tightens,tightening,tightened,tightened,['v. （使）变紧，（使）紧固；旋紧，拧紧；抓紧，攥紧；（由于生气而）（嘴巴）撅起，（双唇）紧闭；（使）（肌肉或身体某部位）变得僵硬，绷紧；使（规定、政策、制度）更加严格，使更加有效；（对……）严加控制，（使）加强控制；<美>（比赛）变得激烈（紧张）']
17306,tigress,ˈtaɪɡrəs,NULL,NULL,NULL,NULL,NULL,['n. 雌虎；凶悍的女人']
17307,timing,ˈtaɪmɪŋ,NULL,NULL,NULL,NULL,NULL,"['n. 时机的掌握；（某事发生的）时间，时机；（汽车发动机的）点火时间控制；合节拍的能力，掌握节奏的能力', 'v. 为……安排时间，选择……的时机；计时；在某一时刻击球（或踢球）（time的现在分词形式）；在某一时刻击球（或踢球）（time 的现在分词形式）']"
17308,tireless,ˈtaɪələs,NULL,NULL,NULL,NULL,NULL,['adj. 不知疲倦的，孜孜不倦的']
17309,tiring,ˈtaɪərɪŋ,NULL,NULL,NULL,NULL,NULL,"['adj. 令人疲倦的，累人的', 'v. （使）感到累，（使）感到疲劳；厌倦，使厌倦（tire 的现在分词形式）']"
17310,tolerable,ˈtɒlərəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 尚好的，还可以的；可接受的，可忍受的']
17311,tonnage,ˈtʌnɪdʒ,tonnages,NULL,NULL,NULL,NULL,['n. （表示船舶大小或载重量的）吨位；（以吨计的）总重量，总吨数']
17312,topical,ˈtɒpɪkl,NULL,NULL,NULL,NULL,NULL,['adj. 有关时事的，当前关注的，热门话题的；（身体）局部的，表面的；专题的，按专题分类的']
17313,tourism,ˈtʊərɪzəm,NULL,NULL,NULL,NULL,NULL,['n. 旅游业，观光业；旅游，观光']
17314,towards,təˈwɔːdz,NULL,NULL,NULL,NULL,NULL,['prep. 向，朝着；接近达到（目的）；接近，将近（某一时间）；接近，靠近（某地）；对，关于；（钱）用于']
17315,township,ˈtaʊnʃɪp,townships,NULL,NULL,NULL,NULL,['n. （南非种族隔离时期的）黑人城镇，黑人居住区；镇区（美国和加拿大县以下一级的地方政府）；(南非)（投机商所开发的）住宅（或工业）新区；<美>6英里见方的地区；<澳新>小镇']
17316,traditional,trəˈdɪʃən(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 传统的；根据传统而制造（或使用）的；因袭的，守旧的；（活动）惯例的，经常从事的；典型的；（爵士乐）具20世纪早期风格的']
17317,trafficking,ˈtræfɪkɪŋ,NULL,NULL,NULL,NULL,NULL,"['n. 非法交易（尤指毒品买卖）', 'vi. 交易（traffic 的现在分词）']"
17318,tragically,ˈtrædʒɪkli,NULL,NULL,NULL,NULL,NULL,['adv. 悲惨地，不幸地；<非正式>极度，很']
17319,trailer,ˈtreɪlə(r),trailers,trailers,trailering,trailered,trailered,"['n. 拖车，挂车；（卡车或货车的）载货挂车；<美>旅行拖车，活动房屋；（电影或电视节目的）预告片；无篷大车；运船平底驳船；拖尾物，蔓生物（尤指蔓生植物）；追踪者', 'v. 预告（电影，节目）；用拖车运输；乘拖车式活动房屋旅行']"
17320,trainee,ˌtreɪˈniː,trainees,NULL,NULL,NULL,NULL,['n. 接受培训者，实习生，见习生']
17321,trainer,ˈtreɪnə(r),trainers,NULL,NULL,NULL,NULL,"['n. 教员，驯兽师，教练员；<英>运动鞋，便鞋；<美>（运动队的）队医；<非正式>教练机，飞行练习器', '【名】 （Trainer）（英、德）特雷纳（人名）']"
17322,tranquil,ˈtræŋkwɪl,NULL,NULL,NULL,NULL,NULL,['adj. 平静的，宁静的']
17323,transcript,ˈtrænskrɪpt,transcripts,NULL,NULL,NULL,NULL,['n. 文字记录，抄本，文字本；<美>成绩单；（生化）转录本，转录物']
17324,transference,ˈtrænsfərəns,NULL,NULL,NULL,NULL,NULL,['n. 转移，传递；移情']
17325,transformation,ˌtrænsfəˈmeɪʃn,transformations,NULL,NULL,NULL,NULL,['n. （彻底或重大的）改观，变化，转变；（用于南非）民主改革；舞台场景的突变；（动物生命周期中的）变态；（物理）嬗变，核的转换；（数，逻）变换；（语言学）转换；（生）遗传转化；（生）细胞转化']
17326,transit,ˈtrænzɪt,transits,transits,transiting,transited,transited,"['n. 运输，运送；<美>交通运输系统；通过，经过；（天文）凌日；（天文）中天；（占星）凌；（商标）（尤指用于运货的）“全顺”汽车（Transit）', 'v. 经过，穿过；（天文）（行星等天体）经过（另一天体、子午线）；（占星）（行星等天体）经过（黄道十二宫之一、住宅或星图区域）']"
17327,transitional,trænˈzɪʃən(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 暂时的，转型的，过渡的；（建筑）过渡式样的']
17328,translator,trænzˈleɪtə(r); trænsˈleɪtə(r),translators,NULL,NULL,NULL,NULL,['n. （尤指从事笔译的）译者，翻译家；翻译机，翻译程序；电视差频转播机']
17329,transmitter,trænzˈmɪtə(r); trænsˈmɪtə(r),transmitters,NULL,NULL,NULL,NULL,['n. （尤指广播、电视信号）发射机，发射台；传播者，传递媒介；（生理）神经传递素']
17330,transparency,trænsˈpærənsi,transparencies,NULL,NULL,NULL,NULL,['n. 透明，透明性；幻灯片，透明正片；透明度，清晰度，公开度；显而易见，一目了然']
17331,transportation,ˌtrænspɔːˈteɪʃn,NULL,NULL,NULL,NULL,NULL,['n. 运输，运送；交通运输系统；运输工具，交通方式；（犯人的）流放，放逐']
17332,trauma,ˈtrɔːmə,traumas或traumata,NULL,NULL,NULL,NULL,"['n. 痛苦经历，挫折；精神创伤，心理创伤；损伤，外伤；不安，震惊，痛苦', '【名】 （Trauma）（西）特劳马（人名）']"
17333,traumatic,trɔːˈmætɪk,NULL,NULL,NULL,NULL,NULL,['adj. （经历）痛苦难忘的，造成精神创伤的；<医>外伤的，损伤的；令人恐惧的，令人如坐针毡的']
17334,treasury,ˈtreʒəri,treasuries,NULL,NULL,NULL,NULL,['n. 财政部；大量珍品，宝藏；（城堡、教堂等的）宝库，珍藏室；国库，金库']
17335,treatment,ˈtriːtmənt,treatments,NULL,NULL,NULL,NULL,['n. 对待，待遇；处理，讨论；治疗，医治；（净化或防治）处理，加工；护理，护理品；<非正式>极致； 对待，待遇']
17336,triangular,traɪˈæŋɡjələ(r),NULL,NULL,NULL,NULL,NULL,['adj. 三角的，三角形的；三人之间的，三方的；（金字塔）有三角形底的']
17337,tribal,ˈtraɪb(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj.  部落的，部族的；；<贬>有组成集团倾向的，集团意识强的； 部落的，部族的', 'n. （尤指印度次大陆的）部落成员（tribals）', '【名】 （Tribal）（法）特里巴尔（人名）']"
17338,tribune,ˈtrɪbjuːn,NULL,NULL,NULL,NULL,NULL,['n. （古罗马的）保民官，护民官；公民权利捍卫者，人民的斗士；（用于报刊名）论坛，讲坛；军事高官']
17339,tricky,ˈtrɪki,NULL,NULL,NULL,NULL,NULL,['adj. 难对付的，棘手的；狡猾的，诡计多端的']
17340,trillion,ˈtrɪljən,NULL,NULL,NULL,NULL,NULL,"['num. 万亿，兆；<英，旧>百万兆；大量，无数', 'adj. 万亿的']"
17341,triumphant,traɪˈʌmfənt,NULL,NULL,NULL,NULL,NULL,['adj. （因胜利或成功而）洋洋得意的，耀武扬威的；胜利的，成功的']
17342,true,truː,NULL,trues,truing或trueing,trued,trued,"['adj. 真实的；正确的', 'adv. 真实地；准确地', 'n. 真实；准确', 'vt. 装准', 'n. （True）(英)特鲁（人名）']"
17343,truly,ˈtruːli,NULL,NULL,NULL,NULL,NULL,"['adv. 真实地，如实地；真正地，完全地；诚挚地，真诚地；准确地；非常，很', '【名】 （Truly）特鲁利（人名）']"
17344,trustee,trʌˈstiː,trustees,trustees,trusteeing,trusteed,trusteed,"['n. 受托人；托管人', 'vt. 移交（财产或管理权）给受托人']"
17345,truthful,ˈtruːθfl,NULL,NULL,NULL,NULL,NULL,['adj. 诚实的，讲真话的；真实的，如实的；（电影、戏剧、书籍等）真实再现的，现实主义的']
17346,trying,ˈtraɪɪŋ,NULL,NULL,NULL,NULL,NULL,"['adj. 令人厌烦的，难对付的', 'v. 试图，努力；试用，试做，试验；品尝（try 的现在分词形式）']"
17347,tuesday,ˈtjuːzdeɪ,NULL,NULL,NULL,NULL,NULL,['n. 星期二']
17348,tumor,ˈtjuːmə(r),NULL,NULL,NULL,NULL,NULL,['n. 肿瘤；肿块；赘生物']
17349,turbulence,ˈtɜːbjələns,NULL,NULL,NULL,NULL,NULL,['n. 骚乱，动荡；（空气或水的）湍流，紊流']
17350,turnout,ˈtɜːnaʊt,turnouts,NULL,NULL,NULL,NULL,['n. 到场人数，参加人数；（选举的）投票人数，投票率；<美>公路避车道，临时停车道；<美>岔道口；（铁道）会让点，道岔；装束，穿着；全套车马；（芭蕾）外开性']
17351,turtle,ˈtɜːt(ə)l,turtles或turtle,NULL,NULL,NULL,NULL,"['n. 海龟；海龟肉；<美>龟；淡水龟；（计算机）龟标', 'v. 翻到背面或顶部；（尤指在水中）捕捉海龟', '【名】 （Turtle）（英）特特尔（人名）']"
17352,tutorial,tjuːˈtɔːriəl,tutorials,NULL,NULL,NULL,NULL,"['adj. 导师的，辅导的', 'n. 导师辅导课；学习指南，教程']"
17353,tv,ˌtiː ˈviː,NULL,NULL,NULL,NULL,NULL,['abbr. 电视（television）']
17354,twelfth,twelfθ,twelfths,NULL,NULL,NULL,NULL,"['adj. 第十二的，第十二个的；十二分之一的', 'n. 第十二；月的第十二日；十二分之一', 'num. 第十二']"
17355,twelve,twelv,twelves,NULL,NULL,NULL,NULL,"['n. 十二；十二个', 'num. 十二；十二个', 'adj. 十二的；十二个的']"
17356,twentieth,ˈtwentiəθ,twentieths,NULL,NULL,NULL,NULL,"['n. 第二十；二十分之一', 'adj. 第二十的；二十分之一的']"
17357,tyre,ˈtaɪə(r),tyres,NULL,NULL,NULL,NULL,"['n. 轮胎；轮箍；（Tyre）提尔', 'v. 装轮胎于……', '【名】 （Tyre）（美、英、加）泰尔（人名）']"
17358,ugliness,ˈʌɡlinəs,NULL,NULL,NULL,NULL,NULL,['n. 丑陋，丑陋之物']
